Name,Easting,Northing,Elevation,Date_Obs,Time_Obs,,
MAT06_B1_F2_03,393901.781,7614562.305,751.821364,6/21/2019,11:17:44 AM,,
MAT06_B1_F2_04,393900.5003,7614557.522,751.952696,6/21/2019,11:18:06 AM,,
MAT06_B1_F5_01,393917.3233,7614543.445,751.12,6/21/2019,11:24:21 AM,,
MAT06_B1_F5_02,393916.1099,7614538.735,751.233721,6/21/2019,11:25:06 AM,,
MAT06_B1_F5_03,393898.1478,7614548.846,752.015697,6/21/2019,11:24:45 AM,,
MAT06_B1_F5_04,393896.9089,7614544.099,752.003755,6/21/2019,11:25:03 AM,,
MAT06_B1_GH_01,393919.2622,7614550.27,751.114222,6/21/2019,11:17:49 AM,,
MAT06_B1_GH_02,393912.1528,7614552.28,751.464043,6/21/2019,11:18:25 AM,,
MAT06_B1_GH_03,393911.0293,7614548.759,751.432289,6/21/2019,11:18:55 AM,,
MAT06_B1_GH_04,393918.1811,7614546.364,751.063412,6/21/2019,11:19:22 AM,,
MAT06_B1_H_01,393919.1961,7614550.251,751.100763,6/21/2019,11:23:14 AM,,
MAT06_B1_H_02,393917.8982,7614545.491,751.10343,6/21/2019,11:23:36 AM,,
MAT06_B1_H_03,393899.9403,7614555.564,751.837737,6/21/2019,11:20:45 AM,,
MAT06_B1_H_04,393898.677,7614550.84,752.027009,6/21/2019,11:22:20 AM,,
MAT06_B1_NH4-P_01,393906.5264,7614502.999,751.509657,6/21/2019,11:33:39 AM,,
MAT06_B1_NH4-P_02,393905.2681,7614498.252,751.45408,6/21/2019,11:33:55 AM,,
MAT06_B1_NH4-P_03,393887.3637,7614508.197,752.63447,6/21/2019,11:33:43 AM,,
MAT06_B1_NH4-P_04,393886.0746,7614503.489,752.479744,6/21/2019,11:34:08 AM,,
MAT06_B1_NO3-P_01,393908.4095,7614509.767,751.345201,6/21/2019,11:32:53 AM,,
MAT06_B1_NO3-P_02,393907.0965,7614504.962,751.540368,6/21/2019,11:33:15 AM,,
MAT06_B1_NO3-P_03,393889.0532,7614514.972,752.55024,6/21/2019,11:32:59 AM,,
MAT06_B1_NO3-P_04,393887.8449,7614510.212,752.49038,6/21/2019,11:33:15 AM,,
MAT06_B2_CT_01,393913.7399,7614454.207,750.804802,6/21/2019,11:42:47 AM,,
MAT06_B2_CT_02,393913.725,7614449.264,750.834716,6/21/2019,11:43:00 AM,,
MAT06_B2_CT_03,393893.8872,7614454.022,752.197113,6/21/2019,11:42:44 AM,,
MAT06_B2_CT_04,393893.8576,7614449.054,752.258167,6/21/2019,11:43:00 AM,,
MAT06_B2_EXTRA_01,393913.8833,7614412.403,750.87568,6/21/2019,11:47:35 AM,,
MAT06_B2_EXTRA_02,393913.9018,7614407.441,750.885266,6/21/2019,11:47:49 AM,,
MAT06_B2_EXTRA_03,393894.1403,7614412.018,752.389713,6/21/2019,11:47:37 AM,,
MAT06_B2_EXTRA_04,393894.1919,7614407.121,752.364918,6/21/2019,11:47:50 AM,,
MAT06_B2_F0.5_01,393913.7634,7614447.293,750.887669,6/21/2019,11:43:41 AM,,
MAT06_B2_F0.5_02,393913.8003,7614442.37,750.924143,6/21/2019,11:43:59 AM,,
MAT06_B2_F0.5_03,393893.8522,7614446.983,752.30737,6/21/2019,11:43:45 AM,,
MAT06_B2_F0.5_04,393893.8312,7614442.026,752.413626,6/21/2019,11:44:03 AM,,
MAT06_B2_F1_01,393913.7579,7614433.308,751.01905,6/21/2019,11:45:10 AM,,
MAT06_B2_F1_02,393913.8249,7614428.434,750.886302,6/21/2019,11:45:24 AM,,
MAT06_B2_F1_03,393894.1431,7614432.944,752.386603,6/21/2019,11:45:16 AM,,
MAT06_B2_F1_04,393894.0456,7614428.091,752.527251,6/21/2019,11:45:32 AM,,
MAT06_B2_F10_01,393913.7769,7614419.389,751.146444,6/21/2019,11:46:54 AM,,
MAT06_B2_F10_02,393913.8433,7614414.441,750.955174,6/21/2019,11:47:08 AM,,
MAT06_B2_F10_03,393894.077,7614418.98,752.405339,6/21/2019,11:46:52 AM,,
MAT06_B2_F10_04,393894.112,7614414.008,752.507707,6/21/2019,11:47:08 AM,,
